image,psnr_db,ssim,l1
000001.png,36.222407890101984,0.9482241868972778,0.008589967153966427
000002.png,36.32818060107859,0.9492953419685364,0.008115887641906738
000003.png,36.94971884314881,0.9600667357444763,0.007726655341684818
000004.png,37.418612054609405,0.9660235643386841,0.00717925513163209
000005.png,37.18765274384452,0.975125253200531,0.0069718430750072
000006.png,38.46401279919175,0.9776036143302917,0.006231273058801889
000007.png,37.84790457360727,0.9761441349983215,0.007034212350845337
000008.png,37.35597378495737,0.972805380821228,0.0074030556716024876
000009.png,36.34430072329212,0.9649986028671265,0.008097011595964432
000010.png,37.243106725562,0.9702781438827515,0.007277420721948147
000011.png,37.995784067478226,0.9650402665138245,0.0065992739982903
000012.png,38.33507822720555,0.9649310111999512,0.006043005734682083
000013.png,39.690315442613496,0.9788165092468262,0.005345664918422699
000014.png,39.122046908202094,0.9772531390190125,0.005443537142127752
000015.png,38.01009783491953,0.9740288853645325,0.0062281424179673195
000016.png,36.23260708787961,0.9696778655052185,0.007717426400631666
000017.png,37.68287840721076,0.9828149676322937,0.006050636526197195
000018.png,34.55092608287944,0.9781453609466553,0.009883587248623371
000019.png,34.97861135480745,0.9781162142753601,0.009055119007825851
000020.png,34.77515567357936,0.9717479944229126,0.010429559275507927
000021.png,34.749061220126464,0.9615933299064636,0.010657732374966145
000022.png,34.93362370767501,0.9587216377258301,0.010071727447211742
000023.png,36.47476718126598,0.9647940993309021,0.007953871972858906
000024.png,36.03921881041235,0.9505013227462769,0.009122251532971859
000025.png,36.481987556409564,0.9755483269691467,0.00784166157245636
000026.png,35.65662613326711,0.9786958694458008,0.007487103343009949
000027.png,34.92606496381913,0.9727808833122253,0.008854394778609276
000028.png,34.62931788694186,0.9719882607460022,0.009520896710455418
000029.png,33.07187360745487,0.9699037075042725,0.009080943651497364
000030.png,36.267669166914565,0.9712703227996826,0.00789277907460928
000031.png,38.481216890636986,0.9727692008018494,0.006824622396379709
000032.png,36.48750706364445,0.9591631889343262,0.00819105189293623
000033.png,35.45138661543619,0.9676318168640137,0.008389867842197418
000034.png,32.957450717160995,0.96992027759552,0.00964985229074955
000035.png,35.49194218173999,0.979519784450531,0.008195956237614155
000036.png,33.11884006435109,0.9657217860221863,0.011081421747803688
000037.png,34.936328841909436,0.9717327356338501,0.00858317781239748
000038.png,38.549729952883276,0.9830445647239685,0.005919829476624727
000039.png,41.25802144355336,0.9899094700813293,0.00430491054430604
000040.png,39.56393415661891,0.9811829328536987,0.005419880151748657
000041.png,39.08766505193439,0.9841367602348328,0.005979591049253941
000042.png,39.43577404770846,0.9817039966583252,0.006087074056267738
000043.png,38.350943651925384,0.9668256640434265,0.007328381761908531
000050.png,39.12322734952734,0.9627748727798462,0.006877151317894459
000051.png,36.45990249073394,0.9250345826148987,0.009543241932988167
000052.png,39.56129099083697,0.9723289608955383,0.006565445568412542
000053.png,37.65887402986181,0.9523986577987671,0.0080972695723176
000054.png,38.37858928288454,0.9750136733055115,0.006551655475050211
000055.png,39.88551863043665,0.9769800901412964,0.006535941734910011
000056.png,38.54326540205128,0.9810349345207214,0.006589336786419153
000057.png,37.29044651027848,0.9691275358200073,0.008245366625487804
000058.png,37.25592577149409,0.9695908427238464,0.008061555214226246
000059.png,35.47938436279959,0.9406120181083679,0.010144978761672974
000060.png,38.40382235452913,0.9725593328475952,0.007149284239858389
000062.png,38.921556989853016,0.9841672778129578,0.006484779063612223
000063.png,38.45402336653391,0.9822075366973877,0.005093954037874937
000064.png,33.625784090375475,0.9681463837623596,0.008078420534729958
000065.png,36.40108668770392,0.9766074419021606,0.007437861990183592
000066.png,37.35384517303181,0.9715260863304138,0.007514204364269972
