step,image,loss,l1,ssim
1,000062.png,0.012416491284966469,0.01016942784190178,0.9785952568054199
2,000025.png,0.015561471693217754,0.010924872942268848,0.9658921360969543
3,000055.png,0.012308143079280853,0.008698311634361744,0.973252534866333
4,000027.png,0.01723029837012291,0.01209082081913948,0.9622117877006531
5,000003.png,0.01895911991596222,0.011147873476147652,0.9497959017753601
6,000017.png,0.012567117810249329,0.009032327681779861,0.9732937216758728
7,000033.png,0.017301373183727264,0.011487073265016079,0.9594414234161377
8,000032.png,0.01825655996799469,0.010831017047166824,0.9520412683486938
9,000026.png,0.013204371556639671,0.009703055024147034,0.9727903604507446
10,000020.png,0.01819433830678463,0.013083632104098797,0.9613628387451172
11,000031.png,0.013655165210366249,0.008753214031457901,0.9667370319366455
12,000023.png,0.016314659267663956,0.00992255937308073,0.9581169486045837
13,000038.png,0.011046122759580612,0.008009327575564384,0.9768067002296448
14,000014.png,0.012460781261324883,0.007977471686899662,0.9696059823036194
15,000059.png,0.021888084709644318,0.011567139066755772,0.9368281364440918
16,000009.png,0.01825951784849167,0.011691471561789513,0.9554682970046997
17,000019.png,0.0147288478910923,0.01105302944779396,0.9705678820610046
18,000050.png,0.016296977177262306,0.009859524667263031,0.9579532146453857
19,000007.png,0.015638286247849464,0.011049157939851284,0.9660052061080933
20,000040.png,0.010968671180307865,0.00756507832556963,0.9754169583320618
21,000060.png,0.013936398550868034,0.009710264392197132,0.9691590666770935
22,000035.png,0.01500915177166462,0.011112092062830925,0.9694026112556458
23,000010.png,0.01572083681821823,0.010362748987972736,0.9628468155860901
24,000056.png,0.010732937604188919,0.007955105043947697,0.9781557321548462
25,000041.png,0.010981587693095207,0.008256633765995502,0.9781185984611511
26,000005.png,0.014551712200045586,0.009992003440856934,0.9672094583511353
27,000022.png,0.019217833876609802,0.011777171865105629,0.9510195255279541
28,000064.png,0.015355978161096573,0.009746742434799671,0.9622070789337158
29,000018.png,0.014767773449420929,0.0114895636215806,0.9721193909645081
30,000004.png,0.01665855571627617,0.010167790576815605,0.9573783874511719
31,000012.png,0.01500890962779522,0.00844564475119114,0.9587380290031433
32,000052.png,0.012793375179171562,0.008382664993405342,0.9695637822151184
33,000011.png,0.015525748953223228,0.009197431616485119,0.9591609835624695
34,000036.png,0.019128073006868362,0.013010310009121895,0.9564008712768555
35,000021.png,0.01893332228064537,0.012334827333688736,0.9546726942062378
36,000053.png,0.018285537138581276,0.009852886199951172,0.9479838609695435
37,000058.png,0.0156325064599514,0.010648437775671482,0.9644312262535095
38,000016.png,0.0156058669090271,0.009859324432909489,0.9614079594612122
39,000015.png,0.013704979792237282,0.008653135038912296,0.9660876393318176
40,000039.png,0.007815384306013584,0.006374060641974211,0.9864193201065063
41,000042.png,0.011789076030254364,0.008768981322646141,0.9761305451393127
42,000002.png,0.019951362162828445,0.010433681309223175,0.9419779181480408
43,000001.png,0.02061888761818409,0.0112606231123209,0.9419480562210083
44,000066.png,0.015120010823011398,0.010056501254439354,0.9646259546279907
45,000029.png,0.01660502888262272,0.011395376175642014,0.9625563621520996
46,000028.png,0.017562801018357277,0.012552388943731785,0.9623955488204956
47,000024.png,0.019466595724225044,0.010674109682440758,0.945363461971283
48,000065.png,0.013685096986591816,0.009587885811924934,0.9699260592460632
49,000063.png,0.009394175373017788,0.0063851699233055115,0.9785698056221008
50,000057.png,0.015261388383805752,0.010707497596740723,0.9665230512619019
51,000008.png,0.01483733206987381,0.01014810148626566,0.9664057493209839
52,000006.png,0.012102805078029633,0.008153779432177544,0.972101092338562
53,000054.png,0.01242045033723116,0.008625699207186699,0.9724005460739136
54,000043.png,0.014745146036148071,0.009114018641412258,0.962730348110199
55,000051.png,0.024017903953790665,0.010577123612165451,0.9222189784049988
56,000037.png,0.015478890389204025,0.010394638404250145,0.9641841053962708
57,000030.png,0.014844000339508057,0.009910180233418941,0.9654207229614258
58,000034.png,0.017423368990421295,0.012150513008236885,0.9614852070808411
59,000013.png,0.010642081499099731,0.006932876072824001,0.9745211005210876
60,000016.png,0.014466343447566032,0.009140891954302788,0.9642318487167358
61,000058.png,0.014427494257688522,0.009588896296918392,0.966218113899231
62,000010.png,0.013982083648443222,0.009004968218505383,0.9661094546318054
63,000065.png,0.01262851431965828,0.00878451019525528,0.97199547290802
64,000035.png,0.013279261067509651,0.009974213317036629,0.9735005497932434
65,000029.png,0.015178180299699306,0.010402977466583252,0.9657210111618042
66,000006.png,0.011305631138384342,0.007527307607233524,0.973581075668335
67,000059.png,0.020830485969781876,0.010784502141177654,0.9389855861663818
68,000021.png,0.01782979443669319,0.01159807201474905,0.9572433233261108
69,000033.png,0.015372779220342636,0.009969029575586319,0.9630122184753418
70,000032.png,0.016409635543823242,0.009473337791860104,0.9558451771736145
71,000007.png,0.013027934357523918,0.009072383865714073,0.9711498618125916
72,000020.png,0.016024593263864517,0.011750478297472,0.9668789505958557
73,000036.png,0.01758400723338127,0.012102327309548855,0.9604892730712891
74,000019.png,0.013086063787341118,0.010006883181631565,0.9745972156524658
75,000008.png,0.013489970937371254,0.009043184109032154,0.9687228798866272
76,000052.png,0.011594731360673904,0.007298210170120001,0.9712191820144653
77,000022.png,0.017717238515615463,0.010883175767958164,0.9549465179443359
78,000062.png,0.01032760925590992,0.008332932367920876,0.981693685054779
79,000014.png,0.010430635884404182,0.006569312419742346,0.9741240739822388
80,000039.png,0.006785622797906399,0.005494315177202225,0.9880491495132446
81,000043.png,0.013688081875443459,0.00825231522321701,0.9645688533782959
82,000051.png,0.02328530140221119,0.010037924163043499,0.9237251877784729
83,000060.png,0.012544531375169754,0.008389362134039402,0.9708347916603088
84,000063.png,0.008609884418547153,0.005823693238198757,0.9802453517913818
85,000025.png,0.01274188980460167,0.008987875655293465,0.9722420573234558
86,000057.png,0.013926130719482899,0.009416677057743073,0.9680360555648804
87,000066.png,0.013386049307882786,0.008784878067672253,0.9682092666625977
88,000064.png,0.01410707924515009,0.008855664171278477,0.964887261390686
89,000041.png,0.009290410205721855,0.007012905552983284,0.9815995693206787
90,000054.png,0.011241648346185684,0.007488634902983904,0.9737462997436523
91,000027.png,0.014450205489993095,0.010208697989583015,0.9685837626457214
92,000030.png,0.013613713905215263,0.009010778740048409,0.9679745435714722
93,000002.png,0.01858876459300518,0.00945898238569498,0.9448921084403992
94,000053.png,0.016937270760536194,0.008815678767859936,0.9505763649940491
95,000042.png,0.010185063816606998,0.007465855218470097,0.978938102722168
96,000009.png,0.015360267832875252,0.009470696561038494,0.9610814452171326
97,000055.png,0.010719502344727516,0.007334231864660978,0.9757394194602966
98,000003.png,0.016244646161794662,0.00929586123675108,0.955960214138031
99,000056.png,0.009953275322914124,0.0072933463379740715,0.979407012462616
100,000005.png,0.012239228934049606,0.008286743424832821,0.9719508290290833
101,000037.png,0.014105118811130524,0.009562254883348942,0.9677234292030334
102,000026.png,0.011421415023505688,0.0083778603002429,0.9764043688774109
103,000034.png,0.015615947544574738,0.010924153961241245,0.9656168818473816
104,000015.png,0.01199000421911478,0.007538161240518093,0.970202624797821
105,000012.png,0.013500828295946121,0.007329308427870274,0.9618130922317505
106,000023.png,0.014579723589122295,0.00876082293689251,0.962144672870636
107,000011.png,0.013760407455265522,0.007774541154503822,0.9622961282730103
108,000038.png,0.009132083505392075,0.0066562253050506115,0.9809644818305969
109,000013.png,0.00958268903195858,0.0061398777179419994,0.9766460657119751
110,000018.png,0.013475542888045311,0.01074772235006094,0.9756131768226624
111,000004.png,0.014248842373490334,0.008467056788504124,0.9626240134239197
112,000040.png,0.009340270422399044,0.00636968994513154,0.9787774085998535
113,000017.png,0.00999067910015583,0.007335870061069727,0.9793900847434998
114,000031.png,0.012036638334393501,0.007611175533384085,0.9702615141868591
115,000050.png,0.014424240216612816,0.008093355223536491,0.9602522253990173
116,000024.png,0.01822878047823906,0.00984057504683733,0.9482184052467346
117,000028.png,0.015364890918135643,0.011048278771340847,0.9673686623573303
118,000001.png,0.019044090062379837,0.01010346319526434,0.9451934099197388
119,000029.png,0.013948343694210052,0.009532777592539787,0.9683893918991089
120,000032.png,0.015386234037578106,0.008700457401573658,0.9578706622123718
121,000043.png,0.012926647439599037,0.007658582180738449,0.9660010933876038
122,000042.png,0.009413421154022217,0.006813167594373226,0.9801855683326721
123,000051.png,0.022796256467700005,0.00966814998537302,0.9246913194656372
124,000057.png,0.01319132186472416,0.00870563555508852,0.9688659310340881
125,000023.png,0.014091968536376953,0.008417114615440369,0.9632086157798767
126,000006.png,0.01014478225260973,0.006695166230201721,0.9760567545890808
127,000021.png,0.01676940731704235,0.010950875468552113,0.9599564671516418
128,000040.png,0.008877880871295929,0.006016307510435581,0.979675829410553
129,000008.png,0.012239860370755196,0.008066206239163876,0.9710655212402344
130,000065.png,0.011338552460074425,0.007936414331197739,0.9750528931617737
131,000038.png,0.008543805219233036,0.006229762453585863,0.982200026512146
132,000041.png,0.008437303826212883,0.006346931215375662,0.9832012057304382
133,000022.png,0.016787441447377205,0.010343024507164955,0.957434892654419
134,000013.png,0.009013600647449493,0.005705156363546848,0.9777526259422302
135,000016.png,0.013050139881670475,0.008251355029642582,0.9677547216415405
136,000002.png,0.017643673345446587,0.00879692379385233,0.9469693303108215
137,000018.png,0.012655791826546192,0.010114159435033798,0.9771776795387268
138,000055.png,0.010023322887718678,0.006703529506921768,0.9766975045204163
139,000015.png,0.01116190105676651,0.0069490838795900345,0.9719868302345276
140,000024.png,0.017644278705120087,0.009428044781088829,0.9494907855987549
141,000011.png,0.012932933866977692,0.007118912413716316,0.9638109803199768
142,000062.png,0.009174684062600136,0.007254321593791246,0.9831438660621643
143,000028.png,0.014410455711185932,0.010398054495453835,0.9695399403572083
144,000004.png,0.01346846017986536,0.007875700481235981,0.9641605019569397
145,000007.png,0.011554235592484474,0.007989027537405491,0.9741849303245544
146,000010.png,0.012621399015188217,0.007959524169564247,0.9687311053276062
147,000035.png,0.01207897998392582,0.009253849275410175,0.9766204953193665
148,000059.png,0.020258087664842606,0.010321462526917458,0.9399954080581665
149,000056.png,0.009439066052436829,0.006847727112472057,0.9801955819129944
150,000063.png,0.008238261565566063,0.0055765132419764996,0.9811147451400757
151,000027.png,0.013258187100291252,0.009391938336193562,0.9712768197059631
152,000019.png,0.0121830515563488,0.009438103064894676,0.976837158203125
153,000060.png,0.011826204136013985,0.007710798643529415,0.9717121720314026
154,000052.png,0.011052213609218597,0.0067951069213449955,0.9719193577766418
155,000020.png,0.01484830491244793,0.011027112603187561,0.969866931438446
156,000036.png,0.016603270545601845,0.011596564203500748,0.9633699059486389
157,000003.png,0.015015608631074429,0.008389703929424286,0.9584807753562927
158,000001.png,0.017998769879341125,0.009217951446771622,0.9468779563903809
159,000034.png,0.014589390717446804,0.010242041200399399,0.9680212140083313
160,000033.png,0.014457469806075096,0.0092080757021904,0.964544951915741
161,000026.png,0.010743399150669575,0.007864678278565407,0.9777417182922363
162,000050.png,0.01377340592443943,0.007558077573776245,0.961365282535553
163,000031.png,0.011305310763418674,0.007092895917594433,0.9718450307846069
164,000058.png,0.01374862901866436,0.009017938748002052,0.9673286080360413
165,000039.png,0.0061418479308485985,0.0049240365624427795,0.9889869093894958
166,000030.png,0.012799994088709354,0.00845715869218111,0.9698286652565002
167,000054.png,0.010699626058340073,0.006985509768128395,0.9744439125061035
168,000012.png,0.012605784460902214,0.006635767407715321,0.9635141491889954
169,000017.png,0.009164038114249706,0.006742450408637524,0.9811496138572693
170,000025.png,0.011632438749074936,0.00820090901106596,0.9746414422988892
171,000014.png,0.009368345141410828,0.005805010907351971,0.976378321647644
172,000037.png,0.0131927989423275,0.0090018380433321,0.9700433611869812
173,000009.png,0.01412690244615078,0.008569545112550259,0.9636436700820923
174,000064.png,0.013437663204967976,0.008436618372797966,0.9665581583976746
175,000066.png,0.012213746085762978,0.007903654128313065,0.9705458879470825
176,000053.png,0.016389882192015648,0.008389323018491268,0.951607882976532
177,000005.png,0.011281260289251804,0.00756410788744688,0.9738501310348511
178,000050.png,0.013360453769564629,0.007210002280771732,0.9620377421379089
179,000002.png,0.017007485032081604,0.008363100700080395,0.9484149813652039
180,000035.png,0.011222004890441895,0.008613034151494503,0.9783421158790588
181,000028.png,0.013723651878535748,0.009893377311527729,0.9709552526473999
182,000040.png,0.008376180194318295,0.005635036621242762,0.9806592464447021
183,000007.png,0.010850217193365097,0.007405581884086132,0.975371241569519
184,000017.png,0.008709363639354706,0.006380369421094656,0.9819746613502502
185,000005.png,0.011017724871635437,0.007341484539210796,0.9742773175239563
186,000015.png,0.010511733591556549,0.006478773895651102,0.9733564257621765
187,000058.png,0.013026450760662556,0.008420510217547417,0.9685497879981995
188,000042.png,0.008891422301530838,0.006400504149496555,0.981144905090332
189,000020.png,0.01439281739294529,0.01072324812412262,0.9709289073944092
190,000023.png,0.013668879866600037,0.008143971674144268,0.9642314910888672
191,000063.png,0.007885245606303215,0.0052976952865719795,0.981764554977417
192,000012.png,0.01210726611316204,0.00624300679191947,0.9644356966018677
193,000004.png,0.01279351394623518,0.007379900198429823,0.965552031993866
