image,psnr_db,ssim,l1
000001.png,33.71679888728205,0.9402641654014587,0.01168022770434618
000002.png,33.473275697823695,0.9395183324813843,0.011096643283963203
000003.png,33.50435855177676,0.9496940970420837,0.01118950080126524
000004.png,33.45155193123465,0.9550695419311523,0.011024443432688713
000005.png,33.73401488222802,0.9655601978302002,0.01049022562801838
000006.png,34.49605302805607,0.9681707620620728,0.009365725331008434
000007.png,33.62992109204766,0.9647725224494934,0.011486715637147427
000008.png,33.417442398651666,0.9623486995697021,0.011705946177244186
000009.png,33.090564469346134,0.9549770355224609,0.011873915791511536
000010.png,33.96188606043185,0.9617103338241577,0.010912946425378323
000011.png,34.474005672555805,0.9574462175369263,0.010086148045957088
000012.png,34.905319110835045,0.9575297236442566,0.008937977254390717
000013.png,35.83304662104517,0.971676230430603,0.007817322388291359
000014.png,34.9592280242313,0.968953549861908,0.00814868789166212
000015.png,34.09410869768716,0.9629469513893127,0.00942657794803381
000016.png,33.15206776579111,0.9580123424530029,0.010633881203830242
000017.png,34.221233001133264,0.9730445742607117,0.009100578725337982
000018.png,32.58783896573017,0.9696882367134094,0.011773540638387203
000019.png,32.52016455589104,0.9688642621040344,0.011625204235315323
000020.png,32.1665060895113,0.9603755474090576,0.013387590646743774
000021.png,32.29802735567483,0.9507306814193726,0.0132516548037529
000022.png,32.474475162214574,0.9482240676879883,0.012385792098939419
000023.png,33.81588321079835,0.95716392993927,0.010231203399598598
000024.png,33.15723595109394,0.941836953163147,0.011828932911157608
000025.png,33.143262629554336,0.965890109539032,0.010925364680588245
000026.png,33.39016094642746,0.9720588326454163,0.010000611655414104
000027.png,32.27327111449001,0.962029218673706,0.012142575345933437
000028.png,32.076456558654776,0.9592463374137878,0.01364136766642332
000029.png,31.64458191686887,0.9602219462394714,0.012389551848173141
000030.png,33.85894654678283,0.9626551270484924,0.010923739522695541
000031.png,35.81636646362036,0.9660716652870178,0.009013256058096886
000032.png,34.12038364075921,0.9516977071762085,0.01094848569482565
000033.png,33.478163979742,0.959236204624176,0.01157196145504713
000034.png,31.02756255692661,0.9578791260719299,0.013467204757034779
000035.png,32.79311518249307,0.9677271842956543,0.0116374921053648
000036.png,31.311878521042008,0.9534499645233154,0.0135702695697546
000037.png,32.19990135432329,0.9597052931785583,0.011473615653812885
000038.png,35.383011931761644,0.9760327339172363,0.00822693482041359
000039.png,37.21664159493943,0.9853835701942444,0.006838154047727585
000040.png,36.01692666675105,0.9746050238609314,0.007831981405615807
000041.png,35.29655438396088,0.976634681224823,0.008840663358569145
000042.png,34.426755177667744,0.97358238697052,0.009997325018048286
000043.png,34.87965766276196,0.9603497385978699,0.01027355995029211
000050.png,36.07993421151842,0.9578003287315369,0.009979025460779667
000051.png,34.72999529797544,0.9206128120422363,0.011582811363041401
000052.png,36.79650881177168,0.968742311000824,0.009160632267594337
000053.png,35.15324126669002,0.9463903903961182,0.010658713057637215
000054.png,35.83579008675202,0.9713759422302246,0.010427076369524002
000055.png,37.54895399965853,0.9732506275177002,0.008706221356987953
000056.png,36.7562951322877,0.9779245853424072,0.00815551821142435
000057.png,34.75531314104703,0.9657972455024719,0.011747376061975956
000058.png,34.70221801522919,0.9634389281272888,0.011398774571716785
000059.png,34.03552482758051,0.9365361928939819,0.0117282560095191
000060.png,36.01006598275327,0.9688065648078918,0.01002860814332962
000062.png,35.23308516222116,0.9785952568054199,0.01016942784190178
000063.png,36.26130035833926,0.9776567220687866,0.006682820152491331
000064.png,32.07460243855774,0.9615043997764587,0.010038843378424644
000065.png,33.183206890069506,0.9661330580711365,0.010744779370725155
000066.png,33.58918166638216,0.9611737728118896,0.011406175792217255
